,customer_id,name,email,membership_age,revenue,preferred_film_language,preferred_film_category,city_id,city,preferred_film_year
0,1,MARY_SMITH,MARY.SMITH@sakilacustomer.org,0 days 06:52:44.000000000,118.67999999999992,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",463,Sasebo,00s
1,2,PATRICIA_JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,0 days 06:52:44.000000000,128.72999999999993,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",449,San Bernardino,00s
2,3,LINDA_WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,0 days 06:52:44.000000000,135.73999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",38,Athenai,00s
3,4,BARBARA_JONES,BARBARA.JONES@sakilacustomer.org,0 days 06:52:44.000000000,81.78,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",349,Myingyan,00s
4,5,ELIZABETH_BROWN,ELIZABETH.BROWN@sakilacustomer.org,0 days 06:52:44.000000000,144.61999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",361,Nantou,00s
5,6,JENNIFER_DAVIS,JENNIFER.DAVIS@sakilacustomer.org,0 days 06:52:44.000000000,93.71999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",295,Laredo,00s
6,7,MARIA_MILLER,MARIA.MILLER@sakilacustomer.org,0 days 06:52:44.000000000,151.67,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",280,Kragujevac,00s
7,8,SUSAN_WILSON,SUSAN.WILSON@sakilacustomer.org,0 days 06:52:44.000000000,92.75999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",200,Hamilton,00s
8,9,MARGARET_MOORE,MARGARET.MOORE@sakilacustomer.org,0 days 06:52:44.000000000,89.76999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",329,Masqat,00s
9,10,DOROTHY_TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,0 days 06:52:44.000000000,99.74999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",162,Esfahan,00s
10,11,LISA_ANDERSON,LISA.ANDERSON@sakilacustomer.org,0 days 06:52:44.000000000,106.75999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",440,Sagamihara,00s
11,12,NANCY_THOMAS,NANCY.THOMAS@sakilacustomer.org,0 days 06:52:44.000000000,103.71999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",582,Yamuna Nagar,00s
12,13,KAREN_JACKSON,KAREN.JACKSON@sakilacustomer.org,0 days 06:52:44.000000000,131.72999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",384,Osmaniye,00s
13,14,BETTY_WHITE,BETTY.WHITE@sakilacustomer.org,0 days 06:52:44.000000000,117.71999999999994,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",120,Citrus Heights,00s
14,15,HELEN_HARRIS,HELEN.HARRIS@sakilacustomer.org,0 days 06:52:44.000000000,134.67999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",76,Bhopal,00s
15,16,SANDRA_MARTIN,SANDRA.MARTIN@sakilacustomer.org,0 days 06:52:44.000000000,120.70999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",495,Southend-on-Sea,00s
16,17,DONNA_THOMPSON,DONNA.THOMPSON@sakilacustomer.org,0 days 06:52:44.000000000,98.78999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",156,Elista,00s
17,18,CAROL_GARCIA,CAROL.GARCIA@sakilacustomer.org,0 days 06:52:44.000000000,91.77999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",252,Kaduna,00s
18,19,RUTH_MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,0 days 06:52:44.000000000,125.75999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",267,Kimberley,00s
19,20,SHARON_ROBINSON,SHARON.ROBINSON@sakilacustomer.org,0 days 06:52:44.000000000,115.69999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",327,Mardan,00s
20,21,MICHELLE_CLARK,MICHELLE.CLARK@sakilacustomer.org,0 days 06:52:44.000000000,155.65,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",525,Tangail,00s
21,22,LAURA_RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,0 days 06:52:44.000000000,113.77999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",443,Sal,00s
22,23,SARAH_LEWIS,SARAH.LEWIS@sakilacustomer.org,0 days 06:52:44.000000000,119.69999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",303,Liepaja,00s
23,24,KIMBERLY_LEE,KIMBERLY.LEE@sakilacustomer.org,0 days 06:52:44.000000000,95.74999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",128,Crdoba,00s
24,25,DEBORAH_WALKER,DEBORAH.WALKER@sakilacustomer.org,0 days 06:52:44.000000000,115.70999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",472,Shikarpur,00s
25,26,JESSICA_HALL,JESSICA.HALL@sakilacustomer.org,0 days 06:52:44.000000000,152.65999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",121,Citt del Vaticano,00s
26,27,SHIRLEY_ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,0 days 06:52:44.000000000,126.68999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",138,Davao,00s
27,28,CYNTHIA_YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,0 days 06:52:44.000000000,111.67999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",346,Munger (Monghyr),00s
28,29,ANGELA_HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,0 days 06:52:44.000000000,140.63999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",474,Shimonoseki,00s
29,30,MELISSA_KING,MELISSA.KING@sakilacustomer.org,0 days 06:52:44.000000000,123.65999999999993,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",316,Lungtan,00s
30,31,BRENDA_WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,0 days 06:52:44.000000000,104.73999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",257,Kamarhati,00s
31,32,AMY_LOPEZ,AMY.LOPEZ@sakilacustomer.org,0 days 06:52:44.000000000,127.70999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",239,Jhansi,00s
32,33,ANNA_HILL,ANNA.HILL@sakilacustomer.org,0 days 06:52:44.000000000,91.78999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",17,Alessandria,00s
33,34,REBECCA_SCOTT,REBECCA.SCOTT@sakilacustomer.org,0 days 06:52:44.000000000,89.76,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",284,Kurashiki,00s
34,35,VIRGINIA_GREEN,VIRGINIA.GREEN@sakilacustomer.org,0 days 06:52:44.000000000,129.67999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",544,Toulouse,00s
35,36,KATHLEEN_ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,0 days 06:52:44.000000000,92.72999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",31,Arak,00s
36,37,PAMELA_BAKER,PAMELA.BAKER@sakilacustomer.org,0 days 06:52:44.000000000,95.76999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",362,Nanyang,00s
37,38,MARTHA_GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,0 days 06:52:44.000000000,127.65999999999993,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",115,Chisinau,00s
38,39,DEBRA_NELSON,DEBRA.NELSON@sakilacustomer.org,0 days 06:52:44.000000000,141.70999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",569,Vila Velha,00s
39,40,AMANDA_CARTER,AMANDA.CARTER@sakilacustomer.org,0 days 06:52:44.000000000,110.72999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",353,Nador,00s
40,41,STEPHANIE_MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,0 days 06:52:44.000000000,118.74999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",586,Yerevan,00s
41,42,CAROLYN_PEREZ,CAROLYN.PEREZ@sakilacustomer.org,0 days 06:52:44.000000000,117.69999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",394,Pak Kret,00s
42,43,CHRISTINE_ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,0 days 06:52:44.000000000,99.75999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",167,Faaa,00s
43,44,MARIE_TURNER,MARIE.TURNER@sakilacustomer.org,0 days 06:52:44.000000000,114.73999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",308,Lipetsk,00s
44,45,JANET_PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,0 days 06:52:44.000000000,127.72999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",27,Antofagasta,00s
45,46,CATHERINE_CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,0 days 06:52:44.000000000,142.65999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",343,Moscow,00s
46,47,FRANCES_PARKER,FRANCES.PARKER@sakilacustomer.org,0 days 06:52:44.000000000,108.77999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",247,Juazeiro do Norte,00s
47,48,ANN_EVANS,ANN.EVANS@sakilacustomer.org,0 days 06:52:44.000000000,76.82999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",367,Niznekamsk,00s
48,49,JOYCE_EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,0 days 06:52:44.000000000,130.71999999999994,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",237,Jedda,00s
49,50,DIANE_COLLINS,DIANE.COLLINS@sakilacustomer.org,0 days 06:52:44.000000000,169.65,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",379,Omdurman,00s
50,51,ALICE_STEWART,ALICE.STEWART@sakilacustomer.org,0 days 06:52:44.000000000,138.66999999999993,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",171,Fontana,00s
51,52,JULIE_SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,0 days 06:52:44.000000000,107.70999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",1,A Corua (La Corua),00s
52,53,HEATHER_MORRIS,HEATHER.MORRIS@sakilacustomer.org,0 days 06:52:44.000000000,115.69999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",355,Nagareyama,00s
53,54,TERESA_ROGERS,TERESA.ROGERS@sakilacustomer.org,0 days 06:52:44.000000000,128.70999999999995,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",227,Iwakuni,00s
54,55,DORIS_REED,DORIS.REED@sakilacustomer.org,0 days 06:52:44.000000000,100.77999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",49,Balaiha,00s
55,56,GLORIA_COOK,GLORIA.COOK@sakilacustomer.org,0 days 06:52:44.000000000,135.69999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",397,Papeete,00s
56,57,EVELYN_MORGAN,EVELYN.MORGAN@sakilacustomer.org,0 days 06:52:44.000000000,114.71999999999994,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",560,Vaduz,00s
57,58,JEAN_BELL,JEAN.BELL@sakilacustomer.org,0 days 06:52:44.000000000,115.72999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",282,Kuching,00s
58,59,CHERYL_MURPHY,CHERYL.MURPHY@sakilacustomer.org,0 days 06:52:44.000000000,133.72999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",350,Mysore,00s
59,60,MILDRED_BAILEY,MILDRED.BAILEY@sakilacustomer.org,0 days 06:52:44.000000000,98.75,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",231,Jaipur,00s
60,61,KATHERINE_RIVERA,KATHERINE.RIVERA@sakilacustomer.org,0 days 06:52:44.000000000,58.86000000000002,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",56,Basel,00s
61,62,JOAN_COOPER,JOAN.COOPER@sakilacustomer.org,0 days 06:52:44.000000000,84.76999999999998,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",441,Saint Louis,00s
62,63,ASHLEY_RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,0 days 06:52:44.000000000,112.74999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",306,Lincoln,00s
63,64,JUDITH_COX,JUDITH.COX@sakilacustomer.org,0 days 06:52:44.000000000,100.66999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",139,Daxian,00s
64,65,ROSE_HOWARD,ROSE.HOWARD@sakilacustomer.org,0 days 06:52:44.000000000,103.77999999999999,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",105,Cayenne,00s
65,66,JANICE_WARD,JANICE.WARD@sakilacustomer.org,0 days 06:52:44.000000000,144.65999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",321,Malm,00s
66,67,KELLY_TORRES,KELLY.TORRES@sakilacustomer.org,0 days 06:52:44.000000000,99.77999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",579,Xiangtan,00s
67,68,NICOLE_PETERSON,NICOLE.PETERSON@sakilacustomer.org,0 days 06:52:44.000000000,94.77999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",475,Shivapuri,00s
68,69,JUDY_GRAY,JUDY.GRAY@sakilacustomer.org,0 days 06:52:44.000000000,96.74999999999997,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",63,Bchar,00s
69,70,CHRISTINA_RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,0 days 06:52:44.000000000,80.82,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",13,al-Hawiya,00s
70,71,KATHY_JAMES,KATHY.JAMES@sakilacustomer.org,0 days 06:52:44.000000000,129.69999999999996,"English,Italian,Japanese,Mandarin,French","Sports,Sci-Fi,Animation,Drama,Comedy",61,Baybay,00s
